Car Name,City,Price (PKR),Model Year,Mileage (km),Fuel Type,Engine CC,Transmission
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,6225000.0,2021,52000.0,Petrol,1800 cc,Automatic
Honda Freed Hybrid G Honda Sensing,Karachi,3550000.0,2013,136000.0,Hybrid,1500 cc,Automatic
Toyota Aqua G LED Soft Leather Selection,Karachi,5500000.0,2017,92000.0,Hybrid,1500 cc,Automatic
Daihatsu Charade GT-ti,Karachi,530000.0,1992,20000.0,Petrol,1000 cc,Manual
Suzuki Khyber GA,Karachi,425000.0,1995,85000.0,Petrol,1000 cc,Manual
KIA Sportage AWD,Karachi,7000000.0,2022,56000.0,Petrol,2000 cc,Automatic
Toyota Raize G,Karachi,5750000.0,2020,45000.0,Petrol,1000 cc,Automatic
Honda City 6th Generation 1.5L ASPIRE CVT,Karachi,5300000.0,2022,25591.0,Petrol,1500 cc,Automatic
Nissan Dayz Highway Star S hybrid X pro pilot,Karachi,3100000.0,2019,61317.0,Hybrid,660 cc,Automatic
Haval H6 HEV,Karachi,11500000.0,2024,12395.0,Hybrid,1500 cc,Automatic
Suzuki Mehran VXR,Karachi,350000.0,1999,100000.0,Petrol,800 cc,Manual
Suzuki Bolan GL,Karachi,500000.0,2006,127000.0,Petrol,800 cc,Manual
Daihatsu Mira L,Karachi,3500000.0,2022,11000.0,Petrol,660 cc,Automatic
Toyota Hilux Vigo Champ G,Karachi,6950000.0,2016,153503.0,Diesel,2500 cc,Automatic
Daihatsu Move L,Karachi,2275000.0,2013,174.0,Petrol,660 cc,Automatic
Toyota Corolla GLi Automatic 1.3 VVTi,Karachi,3150000.0,2014,96789.0,Petrol,1300 cc,Automatic
